time,x,y,z,vx,vy,vz
10.0,6.777702583300867e6,76683.9434546406,0.0,-86.88241573649341,7668.066690794615,0.0
20.0,6.776399388647893e6,153358.05742431624,0.0,-173.7537427429376,7666.5922991420375,0.0
30.0,6.774227582366861e6,230012.5136677299,0.0,-260.6028936677259,7664.135186995438,0.0
40.0,6.771187441644432e6,306637.4864307666,0.0,-347.41878391598726,7660.695665240165,0.0
50.0,6.767279354493692e6,383223.15368971205,0.0,-434.1903330275722,7656.27416906354,0.0
60.0,6.762503819705914e6,459759.6983940239,0.0,-520.9064660545806,7650.871257902697,0.0
70.0,6.756861446788553e6,536237.3097085068,0.0,-607.5561149382796,7644.487615377525,0.0
80.0,6.75035295588947e6,612646.1842547433,0.0,-694.1282198852572,7637.124049208723,0.0
90.0,6.742979177707402e6,688976.5273516292,0.0,-780.611730742661,7628.781491120975,0.0
100.0,6.734741053388687e6,765218.5542548683,0.0,-866.9956083723687,7619.460996731252,0.0
110.0,6.725639634410248e6,841362.4913952742,0.0,-953.2688260239362,7609.163745422248,0.0
120.0,6.715676082448861e6,917398.5776157329,0.0,-1039.420370706175,7597.891040200973,0.0
130.0,6.704851669236705e6,993317.0654066774,0.0,-1125.4392445572016,7585.644307542501,0.0
140.0,6.693167776403231e6,1.069108222139925e6,0.0,-1211.3144662128118,7572.4250972189,0.0
150.0,6.680625895303349e6,1.1447623313007306e6,0.0,-1297.0350721730217,7558.23508211335,0.0
160.0,6.667227626831961e6,1.220269693717906e6,0.0,-1382.5901181666297,7543.076058019474,0.0
170.0,6.652974681224859e6,1.2956206287918605e6,0.0,-1467.9686805136428,7526.949943425899,0.0
180.0,6.637868877846011e6,1.3708054757204112e6,0.0,-1553.159857485417,7509.85877928606,0.0
190.0,6.6219121449612565e6,1.4458145947222195e6,0.0,-1638.152770662361,7491.804728773274,0.0
200.0,6.605106519498438e6,1.5206383682577035e6,0.0,-1722.936566289049,7472.790077021111,0.0
210.0,6.587454146793994e6,1.5952672022472816e6,0.0,-1807.5004166265944,7452.817230849073,0.0
220.0,6.568957280326049e6,1.6696915272867987e6,0.0,-1891.8335213021292,7431.888718473622,0.0
230.0,6.54961828143401e6,1.7439017998599901e6,0.0,-1975.9251086552413,7410.007189204571,0.0
240.0,6.52943961902473e6,1.8178885035478366e6,0.0,-2059.7644370812177,7387.175413126871,0.0
250.0,6.508423869265248e6,1.8916421502346632e6,0.0,-2143.34079637094,7363.396280767827,0.0
260.0,6.486573715262142e6,1.9651532813108389e6,0.0,-2226.6435090472864,7338.672802749768,0.0
270.0,6.46389194672755e6,2.0384124688719292e6,0.0,-2309.6619316978845,7313.008109428206,0.0
280.0,6.44038145963187e6,2.111410316914159e6,0.0,-2392.3854563040672,7286.405450515515,0.0
290.0,6.416045255843194e6,2.1841374625260388e6,0.0,-2474.8035115658845,7258.868194690177,0.0
300.0,6.390886442753518e6,2.2565845770760123e6,0.0,-2556.9055642230123,7230.399829191608,0.0
310.0,6.364908232891751e6,2.32874236739598e6,0.0,-2638.6811203714196,7201.003959400627,0.0
320.0,6.338113943523595e6,2.4006015769605553e6,0.0,-2720.1197267756356,7170.684308405594,0.0
330.0,6.31050699623831e6,2.4721529870619127e6,0.0,-2801.210972176472,7139.444716554253,0.0
340.0,6.282090916522437e6,2.5433874179800795e6,0.0,-2881.9444885940497,7107.289140991342,0.0
350.0,6.252869333320507e6,2.614295730148535e6,0.0,-2962.309952625984,7074.221655181983,0.0
360.0,6.2228459785827985e6,2.684868825314974e6,0.0,-3042.2970867405734,7040.246448420932,0.0
370.0,6.192024686800183e6,2.755097647697088e6,0.0,-3121.895660564853,7005.367825327706,0.0
380.0,6.160409394526121e6,2.824973185133232e6,0.0,-3201.0954921673547,6969.590205327648,0.0
390.0,6.128004139885857e6,2.894486470227828e6,0.0,-3279.8864493354326,6932.918122118982,0.0
400.0,6.094813062072865e6,2.9636285814913716e6,0.0,-3358.258450847007,6895.3562231259,0.0
410.0,6.06084040083261e6,3.0323906444749003e6,0.0,-3436.201467736575,6856.909268937739,0.0
420.0,6.026090495933677e6,3.100763832898781e6,0.0,-3513.7055245553443,6817.582132734296,0.0
430.0,5.990567786626326e6,3.1687393697756855e6,0.0,-3590.760700625344,6777.37979969734,0.0
440.0,5.954276811088541e6,3.2363085285276077e6,0.0,-3667.3571312873646,6736.307366408384,0.0
450.0,5.917222205859627e6,3.303462634096796e6,0.0,-3743.4850091425833,6694.370040232753,0.0
460.0,5.879408705261428e6,3.370193064050454e6,0.0,-3819.134585287727,6651.573138690032,0.0
470.0,5.84084114080722e6,3.436491249679078e6,0.0,-3894.296170543631,6607.9220888109385,0.0
480.0,5.801524440598356e6,3.5023486770882956e6,0.0,-3968.960136677045,6563.42242648069,0.0
490.0,5.761463628708728e6,3.5677568882840746e6,0.0,-4043.1169176155463,6518.079795768922,0.0
500.0,5.720663824557111e6,3.6327074822511575e6,0.0,-4116.757010655416,6471.899948246229,0.0
510.0,5.679130242267469e6,3.697192116024601e6,0.0,-4189.870977662327,6424.888742287389,0.0
520.0,5.636868190017287e6,3.761202505754276e6,0.0,-4262.449446264717,6377.0521423613445,0.0
530.0,5.593883069374005e6,3.8247304277622076e6,0.0,-4334.483111039686,6328.396218308005,0.0
540.0,5.5501803746196395e6,3.8877677195926113e6,0.0,-4405.9627346912885,6278.927144601939,0.0
550.0,5.505765692063647e6,3.950306281054505e6,0.0,-4476.879149221074,6228.651199603042,0.0
560.0,5.460644699344138e6,4.012338075256761e6,0.0,-4547.223257090738,6177.574764794228,0.0
570.0,5.414823164717487e6,4.0738551296354723e6,0.0,-4616.986032376739,6125.704324006249,0.0
580.0,5.368306946336452e6,4.1348495369734988e6,0.0,-4686.158521916743,6073.0464626297,0.0
590.0,5.321101991516861e6,4.195313456412076e6,0.0,-4754.731846447757,6019.607866814285,0.0
600.0,5.273214335992967e6,4.255239114454348e6,0.0,-4822.697201735813,5965.395322655445,0.0
610.0,5.22465010316154e6,4.314618805960704e6,0.0,-4890.045859697063,5910.415715368399,0.0
620.0,5.1754155033148015e6,4.3734448951357985e6,0.0,-4956.769169510145,5854.676028449707,0.0
630.0,5.125516832862271e6,4.431709816507117e6,0.0,-5022.858558719687,5798.18334282642,0.0
640.0,5.074960473541629e6,4.489406075894976e6,0.0,-5088.305534330811,5740.944835992915,0.0
650.0,5.023752891618675e6,4.546526251373831e6,0.0,-5153.1016838945,5682.96778113549,0.0
660.0,4.971900637076481e6,4.603062994224766e6,0.0,-5217.238676583692,5624.259546244822,0.0
670.0,4.919410342793833e6,4.659009029879052e6,0.0,-5280.708264259969,5564.827593216352,0.0
680.0,4.86628872371305e6,4.714357158852643e6,0.0,-5343.502282530703,5504.67947693873,0.0
690.0,4.812542575997275e6,4.769100257671504e6,0.0,-5405.612651796532,5443.822844370359,0.0
700.0,4.758178776177357e6,4.82323127978764e6,0.0,-5467.031378289023,5382.265433604185,0.0
710.0,4.703204280288383e6,4.876743256485718e6,0.0,-5527.750555098404,5320.015072920785,0.0
720.0,4.647626122996003e6,4.929629297780161e6,0.0,-5587.762363191218,5257.079679829881,0.0
730.0,4.5914514167126175e6,4.981882593302595e6,0.0,-5647.059072417782,5193.467260100358,0.0
740.0,4.534687350703544e6,5.033496413179551e6,0.0,-5705.633042509311,5129.185906778898,0.0
750.0,4.47734119018327e6,5.084464108900282e6,0.0,-5763.476724064588,5064.2437991973275,0.0
760.0,4.419420275401885e6,5.134779114174604e6,0.0,-5820.582659526041,4998.649201968775,0.0
770.0,4.36093202072181e6,5.1844349457806535e6,0.0,-5876.943484145109,4932.410463972755,0.0
780.0,4.301883913684923e6,5.233425204402417e6,0.0,-5932.551926936761,4865.536017329276,0.0
790.0,4.242283514070201e6,5.281743575456972e6,0.0,-5987.4008116230525,4798.0343763620795,0.0
800.0,4.1821384529419723e6,5.329383829911292e6,0.0,-6041.483057565585,4729.914136551123,0.0
810.0,4.121456431688911e6,5.376339825088524e6,0.0,-6094.791680686755,4661.183973474412,0.0
820.0,4.060245221053865e6,5.42260550546364e6,0.0,-6147.319794379657,4591.852641739297,0.0
830.0,3.9985126601546505e6,5.468174903448338e6,0.0,-6199.060610406524,4521.928973903348,0.0
840.0,3.936266655495916e6,5.513042140165107e6,0.0,-6250.007439785592,4451.421879384919,0.0
